title,price,rating,image,description,url
"realme 15 5G (Flowing Silver, 128 GB)","₹25,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/g/k/-original-imahekyxwdxefxae.jpeg?q=70,8 GB RAM | 128 GB ROM | 17.27 cm (6.8 inch) Display | 50MP + 8MP | 50MP Front Camera | 7000 mAh Battery | Mediatek Dimensity 7300+ 5G Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/realme-15-5g-flowing-silver-128-gb/p/itme9581fbd0e97a
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)","₹10,499",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/a/x/-original-imahfkvfhcddfzvh.jpeg?q=70,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 17.12 cm (6.74 inch) HD+ Display | 50MP + 2MP | 5MP Front Camera | 6000 mAh Battery | Dimensity 6300 5G Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/vivo-t4-lite-5g-charger-box-prism-blue-128-gb/p/itm9886d6e522c4b
"vivo T4R 5G (Twilight Blue, 128 GB)","₹19,499",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/3/i/-original-imahfkvffkd4qhma.jpeg?q=70,8 GB RAM | 128 GB ROM | 17.2 cm (6.77 inch) Display | 50MP (OIS) + 2MP | 32MP Front Camera | 5700 mAh Battery | Dimensity 7400 5G Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/vivo-t4r-5g-twilight-blue-128-gb/p/itm3a5653667cb9c
"Ai+ Nova 5G (Black, 128 GB)","₹8,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/8/x/i/-original-imahgzhp2fteyggf.jpeg?q=70,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 17.13 cm (6.745 inch) HD+ Display | 50MP Rear Camera | 5MP Front Camera | 5000 mAh Battery | T8200 Processor | 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,https://www.flipkart.com/ai-nova-5g-black-128-gb/p/itmbc4ea39b70ca3
"vivo T4x 5G (Glacial Teal, 128 GB)","₹14,499",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/k/r/-original-imahfhudssrdghcz.jpeg?q=70,6 GB RAM | 128 GB ROM | 17.07 cm (6.72 inch) Display | 50MP + 2MP | 8MP Front Camera | 6500 mAh Battery | Dimensity 7300 5G Processor | 1 Year Warranty for Device and 6 Months Warranty for Accessories,https://www.flipkart.com/vivo-t4x-5g-glacial-teal-128-gb/p/itm017656bdd097b
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)","₹11,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/r/y/-original-imahfw4vez79uubg.jpeg?q=70,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 16.94 cm (6.67 inch) HD+ Display | 50MP + 2MP | 8MP Front Camera | 6000 mAh Battery | Dimensity 6300 Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/oppo-k13x-5g-6000mah-45w-supervooc-charger-ai-sunset-peach-128-gb/p/itm62b2e62fbb43e
"realme C71 (Sea Blue, 128 GB)","₹8,699",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/f/j/-original-imahdz2gdtkwhz9g.jpeg?q=70,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 17.14 cm (6.75 inch) HD+ Display | 13MP Rear Camera | 5MP Front Camera | 6300 mAh Battery | T7250 Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/realme-c71-sea-blue-128-gb/p/itm920c5c8761871
"MOTOROLA G96 5G (Pantone Cattleya Orchid, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/c/p/-original-imahgqnz7w9vazdb.jpeg?q=70,8 GB RAM | 128 GB ROM | 16.94 cm (6.67 inch) Full HD+ Display | 50MP + 8MP | 32MP Front Camera | 5500 mAh Battery | 7s Gen 2 Processor | 1 Year Warranty on Handset and 6 Months Warranty on Accessories,https://www.flipkart.com/motorola-g96-5g-pantone-cattleya-orchid-128-gb/p/itm1a71d1ad992ec
"REDMI A5  - Locked with Airtel Prepaid (Jaisalmer Gold, 64 GB)","₹5,999",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/v/z/-original-imahfvkvg6zmu5mj.jpeg?q=70,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB | 17.48 cm (6.88 inch) HD+ Display | 32MP Rear Camera | 8MP Front Camera | 5200 mAh Battery | T7250 Processor | 1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/redmi-a5-locked-airtel-prepaid-jaisalmer-gold-64-gb/p/itmff412b2ba92a3
"MOTOROLA G96 5G (Pantone Ashleigh Blue, 256 GB)","₹19,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/6/r/-original-imahgqnzbwhbqywa.jpeg?q=70,8 GB RAM | 256 GB ROM | 16.94 cm (6.67 inch) Full HD+ Display | 50MP + 8MP | 32MP Front Camera | 5500 mAh Battery | 7s Gen 2 Processor | 1 Year Warranty on Handset and 6 Months Warranty on Accessories,https://www.flipkart.com/motorola-g96-5g-pantone-ashleigh-blue-256-gb/p/itmda6d829eead4b
